"Statistic Label","Month","Local Electoral Area","Age Group","UNIT","VALUE"
"Primary Course Completed","2021 September","Dún Laoghaire, Dún Laoghaire-Rathdown","12 years and over","%","85"
"Primary Course Completed","2021 September","Blackrock, Dún Laoghaire-Rathdown","5 - 11 years","%",""
"Primary Course Completed","2021 September","Blackrock, Dún Laoghaire-Rathdown","12 years and over","%","88.2"
"Primary Course Completed","2021 September","Lucan, South Dublin","5 - 11 years","%",""
"Primary Course Completed","2021 September","Lucan, South Dublin","12 years and over","%","84.2"
"Primary Course Completed","2021 September","Tallaght Central, South Dublin","5 - 11 years","%",""
"Primary Course Completed","2021 September","Tallaght Central, South Dublin","12 years and over","%","82.4"
"Primary Course Completed","2021 September","Rathfarnham-Templeogue, South Dublin","5 - 11 years","%",""
"Primary Course Completed","2021 September","Rathfarnham-Templeogue, South Dublin","12 years and over","%","92.2"
"Primary Course Completed","2021 September","Firhouse-Bohernabreena, South Dublin","5 - 11 years","%",""
"Primary Course Completed","2021 September","Firhouse-Bohernabreena, South Dublin","12 years and over","%","93.7"
"Primary Course Completed","2021 September","Tallaght South, South Dublin","5 - 11 years","%",""
"Primary Course Completed","2021 September","Tallaght South, South Dublin","12 years and over","%","71.7"
"Primary Course Completed","2021 September","Clondalkin, South Dublin","5 - 11 years","%",""
"Primary Course Completed","2021 September","Clondalkin, South Dublin","12 years and over","%","80"
"Primary Course Completed","2021 September","Balbriggan, Fingal","5 - 11 years","%",""
"Primary Course Completed","2021 September","Balbriggan, Fingal","12 years and over","%","81.8"
"Primary Course Completed","2021 September","Ongar, Fingal","5 - 11 years","%",""
"Primary Course Completed","2021 September","Ongar, Fingal","12 years and over","%","71.3"
"Primary Course Completed","2021 September","Palmerstown-Fonthill, South Dublin","5 - 11 years","%",""
"Primary Course Completed","2021 September","Palmerstown-Fonthill, South Dublin","12 years and over","%","78.2"
"Primary Course Completed","2021 September","Ballymun-Finglas, Dublin City","5 - 11 years","%",""
"Primary Course Completed","2021 September","Ballymun-Finglas, Dublin City","12 years and over","%","75.9"
"Primary Course Completed","2021 September","Cabra-Glasnevin, Dublin City","5 - 11 years","%",""
"Primary Course Completed","2021 September","Cabra-Glasnevin, Dublin City","12 years and over","%","84.2"
"Primary Course Completed","2021 September","Ballyfermot-Drimnagh, Dublin City","5 - 11 years","%",""
"Primary Course Completed","2021 September","Ballyfermot-Drimnagh, Dublin City","12 years and over","%","79.8"
"Primary Course Completed","2021 September","Kimmage-Rathmines, Dublin City","5 - 11 years","%",""
"Primary Course Completed","2021 September","Kimmage-Rathmines, Dublin City","12 years and over","%","91.4"
"Primary Course Completed","2021 September","Pembroke, Dublin City","5 - 11 years","%",""
"Primary Course Completed","2021 September","Pembroke, Dublin City","12 years and over","%","94.4"
"Primary Course Completed","2021 September","South East Inner City, Dublin City","5 - 11 years","%",""
"Primary Course Completed","2021 September","South East Inner City, Dublin City","12 years and over","%","82.5"
"Primary Course Completed","2021 September","North Inner City, Dublin City","5 - 11 years","%",""
"Primary Course Completed","2021 September","North Inner City, Dublin City","12 years and over","%","70.2"
"Primary Course Completed","2021 September","Clontarf, Dublin City","5 - 11 years","%",""
"Primary Course Completed","2021 September","Clontarf, Dublin City","12 years and over","%","94"
"Primary Course Completed","2021 September","Donaghmede, Dublin City","5 - 11 years","%",""
"Primary Course Completed","2021 September","Donaghmede, Dublin City","12 years and over","%","87.4"
"Primary Course Completed","2021 September","Artane-Whitehall, Dublin City","5 - 11 years","%",""
"Primary Course Completed","2021 September","Artane-Whitehall, Dublin City","12 years and over","%","84.9"
"Primary Course Completed","2021 September","South West Inner City, Dublin City","5 - 11 years","%",""
"Primary Course Completed","2021 September","South West Inner City, Dublin City","12 years and over","%","76.6"
"Primary Course Completed","2021 September","Ennistimon, Clare","5 - 11 years","%",""
"Primary Course Completed","2021 September","Ennistimon, Clare","12 years and over","%","91.7"
"Primary Course Completed","2021 September","Killaloe, Clare","5 - 11 years","%",""
"Primary Course Completed","2021 September","Killaloe, Clare","12 years and over","%","91.5"
"Primary Course Completed","2021 September","Shannon, Clare","5 - 11 years","%",""
"Primary Course Completed","2021 September","Shannon, Clare","12 years and over","%","87.1"
"Primary Course Completed","2021 September","Ennis, Clare","5 - 11 years","%",""
"Primary Course Completed","2021 September","Ennis, Clare","12 years and over","%","91.1"
"Primary Course Completed","2021 September","Kilrush, Clare","5 - 11 years","%",""
"Primary Course Completed","2021 September","Kilrush, Clare","12 years and over","%","93.5"
"Primary Course Completed","2021 September","Kanturk, Cork County","5 - 11 years","%",""
"Primary Course Completed","2021 September","Kanturk, Cork County","12 years and over","%","93.3"
"Primary Course Completed","2021 September","Fermoy, Cork County","5 - 11 years","%",""
"Primary Course Completed","2021 September","Fermoy, Cork County","12 years and over","%","89.9"
"Primary Course Completed","2021 September","Midleton, Cork County","5 - 11 years","%",""
"Primary Course Completed","2021 September","Midleton, Cork County","12 years and over","%","88"
"Primary Course Completed","2021 September","Carrigaline, Cork County","5 - 11 years","%",""
"Primary Course Completed","2021 September","Carrigaline, Cork County","12 years and over","%","96.5"
"Primary Course Completed","2021 September","Cobh, Cork County","5 - 11 years","%",""
"Primary Course Completed","2021 September","Cobh, Cork County","12 years and over","%","92.1"
"Primary Course Completed","2021 September","Bandon-Kinsale, Cork County","5 - 11 years","%",""
"Primary Course Completed","2021 September","Bandon-Kinsale, Cork County","12 years and over","%","90.5"
"Primary Course Completed","2021 September","Bantry-West Cork, Cork County","5 - 11 years","%",""
"Primary Course Completed","2021 September","Bantry-West Cork, Cork County","12 years and over","%","92.2"
"Primary Course Completed","2021 September","Skibbereen-West Cork, Cork County","5 - 11 years","%",""
"Primary Course Completed","2021 September","Skibbereen-West Cork, Cork County","12 years and over","%","90.6"
"Primary Course Completed","2021 September","Macroom, Cork County","5 - 11 years","%",""
"Primary Course Completed","2021 September","Macroom, Cork County","12 years and over","%","93"
"Primary Course Completed","2021 September","Mallow, Cork County","5 - 11 years","%",""
"Primary Course Completed","2021 September","Mallow, Cork County","12 years and over","%","91"
"Primary Course Completed","2021 September","Cork City North West, Cork City","5 - 11 years","%",""
"Primary Course Completed","2021 September","Cork City North West, Cork City","12 years and over","%","90.4"
"Primary Course Completed","2021 September","Cork City North East, Cork City","5 - 11 years","%",""
"Primary Course Completed","2021 September","Cork City North East, Cork City","12 years and over","%","88.1"
"Primary Course Completed","2021 September","Cork City South East, Cork City","5 - 11 years","%",""
"Primary Course Completed","2021 September","Cork City South East, Cork City","12 years and over","%","94.4"
"Primary Course Completed","2021 September","Cork City South Central, Cork City","5 - 11 years","%",""
"Primary Course Completed","2021 September","Cork City South Central, Cork City","12 years and over","%","88.2"
"Primary Course Completed","2021 September","Cork City South West, Cork City","5 - 11 years","%",""
"Primary Course Completed","2021 September","Cork City South West, Cork City","12 years and over","%","88.5"
"Primary Course Completed","2021 September","Glenties, Donegal","5 - 11 years","%",""
"Primary Course Completed","2021 September","Glenties, Donegal","12 years and over","%","90.5"
"Primary Course Completed","2021 September","Milford, Donegal","5 - 11 years","%",""
"Primary Course Completed","2021 September","Milford, Donegal","12 years and over","%","84.8"
"Primary Course Completed","2021 September","Carndonagh, Donegal","5 - 11 years","%",""
"Primary Course Completed","2021 September","Carndonagh, Donegal","12 years and over","%","67.3"
"Primary Course Completed","2021 September","Buncrana, Donegal","5 - 11 years","%",""
"Primary Course Completed","2021 September","Buncrana, Donegal","12 years and over","%","56.8"
"Primary Course Completed","2021 September","Donegal, Donegal","5 - 11 years","%",""
"Primary Course Completed","2021 September","Donegal, Donegal","12 years and over","%","86.1"
"Primary Course Completed","2021 September","Letterkenny, Donegal","5 - 11 years","%",""
"Primary Course Completed","2021 September","Letterkenny, Donegal","12 years and over","%","83.3"
"Primary Course Completed","2021 September","Lifford-Stranorlar, Donegal","5 - 11 years","%",""
"Primary Course Completed","2021 September","Lifford-Stranorlar, Donegal","12 years and over","%","77.6"
"Primary Course Completed","2021 September","Conamara North, Galway County","5 - 11 years","%",""
"Primary Course Completed","2021 September","Conamara North, Galway County","12 years and over","%","90.8"
"Primary Course Completed","2021 September","Tuam, Galway County","5 - 11 years","%",""
"Primary Course Completed","2021 September","Tuam, Galway County","12 years and over","%","91.2"
"Primary Course Completed","2021 September","Ballinasloe, Galway County","5 - 11 years","%",""
"Primary Course Completed","2021 September","Ballinasloe, Galway County","12 years and over","%","91.2"
"Primary Course Completed","2021 September","Loughrea, Galway County","5 - 11 years","%",""
"Primary Course Completed","2021 September","Loughrea, Galway County","12 years and over","%","91.4"
"Primary Course Completed","2021 September","Athenry-Oranmore, Galway County","5 - 11 years","%",""
"Primary Course Completed","2021 September","Athenry-Oranmore, Galway County","12 years and over","%","90.1"
"Primary Course Completed","2021 September","Gort-Kinvara, Galway County","5 - 11 years","%",""
"Primary Course Completed","2021 September","Gort-Kinvara, Galway County","12 years and over","%","94.8"
"Primary Course Completed","2021 September","Conamara South, Galway County","5 - 11 years","%",""
"Primary Course Completed","2021 September","Conamara South, Galway County","12 years and over","%","94.3"
"Primary Course Completed","2021 September","Galway City West, Galway City","5 - 11 years","%",""
"Primary Course Completed","2021 September","Galway City West, Galway City","12 years and over","%","89.6"
"Primary Course Completed","2021 September","Galway City Central, Galway City","5 - 11 years","%",""
"Primary Course Completed","2021 September","Galway City Central, Galway City","12 years and over","%","88.3"
"Primary Course Completed","2021 September","Galway City East, Galway City","5 - 11 years","%",""
"Primary Course Completed","2021 September","Galway City East, Galway City","12 years and over","%","81.4"
"Primary Course Completed","2021 September","Listowel, Kerry","5 - 11 years","%",""
"Primary Course Completed","2021 September","Listowel, Kerry","12 years and over","%","92"
"Primary Course Completed","2021 September","Castleisland, Kerry","5 - 11 years","%",""
"Primary Course Completed","2021 September","Castleisland, Kerry","12 years and over","%","92.4"
"Primary Course Completed","2021 September","Killarney, Kerry","5 - 11 years","%",""
"Primary Course Completed","2021 September","Killarney, Kerry","12 years and over","%","80.5"
"Primary Course Completed","2021 September","Kenmare, Kerry","5 - 11 years","%",""
"Primary Course Completed","2021 September","Kenmare, Kerry","12 years and over","%","92.7"
"Primary Course Completed","2021 September","Corca Dhuibhne, Kerry","5 - 11 years","%",""
"Primary Course Completed","2021 September","Corca Dhuibhne, Kerry","12 years and over","%","90.1"
"Primary Course Completed","2021 September","Tralee, Kerry","5 - 11 years","%",""
"Primary Course Completed","2021 September","Tralee, Kerry","12 years and over","%","89.1"
"Primary Course Completed","2021 September","Maynooth, Kildare","5 - 11 years","%",""
"Primary Course Completed","2021 September","Maynooth, Kildare","12 years and over","%","85.5"
"Primary Course Completed","2021 September","Celbridge, Kildare","5 - 11 years","%",""
"Primary Course Completed","2021 September","Celbridge, Kildare","12 years and over","%","89.4"
"Primary Course Completed","2021 September","Naas, Kildare","5 - 11 years","%",""
"Primary Course Completed","2021 September","Naas, Kildare","12 years and over","%","96.2"
"Primary Course Completed","2021 September","Athy, Kildare","5 - 11 years","%",""
"Primary Course Completed","2021 September","Athy, Kildare","12 years and over","%","88.3"
"Primary Course Completed","2021 September","Kildare, Kildare","5 - 11 years","%",""
"Primary Course Completed","2021 September","Kildare, Kildare","12 years and over","%","90.8"
"Primary Course Completed","2021 September","Clane, Kildare","5 - 11 years","%",""
"Primary Course Completed","2021 September","Clane, Kildare","12 years and over","%","89.1"
"Primary Course Completed","2021 September","Leixlip, Kildare","5 - 11 years","%",""
"Primary Course Completed","2021 September","Leixlip, Kildare","12 years and over","%","87.8"
"Primary Course Completed","2021 September","Newbridge, Kildare","5 - 11 years","%",""
"Primary Course Completed","2021 September","Newbridge, Kildare","12 years and over","%","86.6"
"Primary Course Completed","2021 September","Castlecomer, Kilkenny","5 - 11 years","%",""
"Primary Course Completed","2021 September","Castlecomer, Kilkenny","12 years and over","%","93.5"
"Primary Course Completed","2021 September","Kilkenny, Kilkenny","5 - 11 years","%",""
"Primary Course Completed","2021 September","Kilkenny, Kilkenny","12 years and over","%","84.1"
"Primary Course Completed","2021 September","Piltown, Kilkenny","5 - 11 years","%",""
"Primary Course Completed","2021 September","Piltown, Kilkenny","12 years and over","%","87.5"
"Primary Course Completed","2021 September","Callan-Thomastown, Kilkenny","5 - 11 years","%",""
"Primary Course Completed","2021 September","Callan-Thomastown, Kilkenny","12 years and over","%","94.1"
"Primary Course Completed","2021 October","Borris-In-Ossory-Mountmellick, Laois","5 - 11 years","%",""
"Primary Course Completed","2021 October","Borris-In-Ossory-Mountmellick, Laois","12 years and over","%","94.5"
"Primary Course Completed","2021 October","Portlaoise, Laois","5 - 11 years","%",""
"Primary Course Completed","2021 October","Portlaoise, Laois","12 years and over","%","84.5"
"Primary Course Completed","2021 October","Graiguecullen -Portarlington, Laois","5 - 11 years","%",""
"Primary Course Completed","2021 October","Graiguecullen -Portarlington, Laois","12 years and over","%","91.9"
"Primary Course Completed","2021 October","Carlow, Carlow","5 - 11 years","%",""
"Primary Course Completed","2021 October","Carlow, Carlow","12 years and over","%","87.8"
"Primary Course Completed","2021 October","Tullow, Carlow","5 - 11 years","%",""
"Primary Course Completed","2021 October","Tullow, Carlow","12 years and over","%","89.4"
"Primary Course Completed","2021 October","Muinebeag, Carlow","5 - 11 years","%",""
"Primary Course Completed","2021 October","Muinebeag, Carlow","12 years and over","%","94.5"
"Primary Course Completed","2021 October","Manorhamilton, Leitrim","5 - 11 years","%",""
"Primary Course Completed","2021 October","Manorhamilton, Leitrim","12 years and over","%","90.6"
"Primary Course Completed","2021 October","Ballinamore, Leitrim","5 - 11 years","%",""
"Primary Course Completed","2021 October","Ballinamore, Leitrim","12 years and over","%","92.2"
"Primary Course Completed","2021 October","Carrick-On-Shannon, Leitrim","5 - 11 years","%",""
"Primary Course Completed","2021 October","Carrick-On-Shannon, Leitrim","12 years and over","%","87.7"
"Primary Course Completed","2021 October","Newcastle West, Limerick","5 - 11 years","%",""
"Primary Course Completed","2021 October","Newcastle West, Limerick","12 years and over","%","93.2"
"Primary Course Completed","2021 October","Adare-Rathkeale, Limerick","5 - 11 years","%",""
"Primary Course Completed","2021 October","Adare-Rathkeale, Limerick","12 years and over","%","94.6"
"Primary Course Completed","2021 October","Cappamore-Kilmallock, Limerick","5 - 11 years","%",""
"Primary Course Completed","2021 October","Cappamore-Kilmallock, Limerick","12 years and over","%","94.8"
"Primary Course Completed","2021 October","Limerick City West, Limerick","5 - 11 years","%",""
"Primary Course Completed","2021 October","Limerick City West, Limerick","12 years and over","%","91.6"
"Primary Course Completed","2021 October","Limerick City North, Limerick","5 - 11 years","%",""
"Primary Course Completed","2021 October","Limerick City North, Limerick","12 years and over","%","90.3"
"Primary Course Completed","2021 October","Limerick City East, Limerick","5 - 11 years","%",""
"Primary Course Completed","2021 October","Limerick City East, Limerick","12 years and over","%","91.5"
"Primary Course Completed","2021 October","Granard, Longford","5 - 11 years","%",""
"Primary Course Completed","2021 October","Granard, Longford","12 years and over","%","91.7"
"Primary Course Completed","2021 October","Ballymahon, Longford","5 - 11 years","%",""
"Primary Course Completed","2021 October","Ballymahon, Longford","12 years and over","%","88.7"
"Primary Course Completed","2021 October","Longford, Longford","5 - 11 years","%",""
"Primary Course Completed","2021 October","Longford, Longford","12 years and over","%","81.8"
"Primary Course Completed","2021 October","Dundalk-Carlingford, Louth","5 - 11 years","%",""
"Primary Course Completed","2021 October","Dundalk-Carlingford, Louth","12 years and over","%","81.9"
"Primary Course Completed","2021 October","Dundalk South, Louth","5 - 11 years","%",""
"Primary Course Completed","2021 October","Dundalk South, Louth","12 years and over","%","87.7"
"Primary Course Completed","2021 October","Ardee, Louth","5 - 11 years","%",""
"Primary Course Completed","2021 October","Ardee, Louth","12 years and over","%","88.3"
"Primary Course Completed","2021 October","Drogheda Rural, Louth","5 - 11 years","%",""
"Primary Course Completed","2021 October","Drogheda Rural, Louth","12 years and over","%","86"
"Primary Course Completed","2021 October","Drogheda Urban, Louth","5 - 11 years","%",""
"Primary Course Completed","2021 October","Drogheda Urban, Louth","12 years and over","%","82.9"
"Primary Course Completed","2021 October","Ballina, Mayo","5 - 11 years","%",""
"Primary Course Completed","2021 October","Ballina, Mayo","12 years and over","%","88.3"
"Primary Course Completed","2021 October","Claremorris, Mayo","5 - 11 years","%",""
"Primary Course Completed","2021 October","Claremorris, Mayo","12 years and over","%","88.1"
"Primary Course Completed","2021 October","Castlebar, Mayo","5 - 11 years","%",""
"Primary Course Completed","2021 October","Castlebar, Mayo","12 years and over","%","90.5"
"Primary Course Completed","2021 October","Belmullet, Mayo","5 - 11 years","%",""
"Primary Course Completed","2021 October","Belmullet, Mayo","12 years and over","%","92.6"
"Primary Course Completed","2021 October","Westport, Mayo","5 - 11 years","%",""
"Primary Course Completed","2021 October","Westport, Mayo","12 years and over","%","87.8"
"Primary Course Completed","2021 October","Swinford, Mayo","5 - 11 years","%",""
"Primary Course Completed","2021 October","Swinford, Mayo","12 years and over","%","93.1"
"Primary Course Completed","2021 October","Kells, Meath","5 - 11 years","%",""
"Primary Course Completed","2021 October","Kells, Meath","12 years and over","%","88.3"
"Primary Course Completed","2021 October","Laytown-Bettystown, Meath","5 - 11 years","%",""
"Primary Course Completed","2021 October","Laytown-Bettystown, Meath","12 years and over","%","89.6"
"Primary Course Completed","2021 October","Ashbourne, Meath","5 - 11 years","%",""
"Primary Course Completed","2021 October","Ashbourne, Meath","12 years and over","%","90.1"
"Primary Course Completed","2021 October","Ratoath, Meath","5 - 11 years","%",""
"Primary Course Completed","2021 October","Ratoath, Meath","12 years and over","%","95.4"
"Primary Course Completed","2021 October","Trim, Meath","5 - 11 years","%",""
"Primary Course Completed","2021 October","Trim, Meath","12 years and over","%","87.8"
"Primary Course Completed","2021 October","Navan, Meath","5 - 11 years","%",""
"Primary Course Completed","2021 October","Navan, Meath","12 years and over","%","84"
"Primary Course Completed","2021 October","Monaghan, Monaghan","5 - 11 years","%",""
"Primary Course Completed","2021 October","Monaghan, Monaghan","12 years and over","%","76"
"Primary Course Completed","2021 October","Carrickmacross-Castleblayney, Monaghan","5 - 11 years","%",""
"Primary Course Completed","2021 October","Carrickmacross-Castleblayney, Monaghan","12 years and over","%","81"
"Primary Course Completed","2021 October","Ballybay-Clones, Monaghan","5 - 11 years","%",""
"Primary Course Completed","2021 October","Ballybay-Clones, Monaghan","12 years and over","%","84.7"
"Primary Course Completed","2021 October","Birr, Offaly","5 - 11 years","%",""
"Primary Course Completed","2021 October","Birr, Offaly","12 years and over","%","92.3"
"Primary Course Completed","2021 October","Tullamore, Offaly","5 - 11 years","%",""
"Primary Course Completed","2021 October","Tullamore, Offaly","12 years and over","%","89.8"
"Primary Course Completed","2021 October","Edenderry, Offaly","5 - 11 years","%",""
"Primary Course Completed","2021 October","Edenderry, Offaly","12 years and over","%","90.2"
"Primary Course Completed","2021 October","Boyle, Roscommon","5 - 11 years","%",""
"Primary Course Completed","2021 October","Boyle, Roscommon","12 years and over","%","90.7"
"Primary Course Completed","2021 October","Roscommon, Roscommon","5 - 11 years","%",""
"Primary Course Completed","2021 October","Roscommon, Roscommon","12 years and over","%","90.7"
"Primary Course Completed","2021 October","Athlone, Roscommon","5 - 11 years","%",""
"Primary Course Completed","2021 October","Athlone, Roscommon","12 years and over","%","91.4"
"Primary Course Completed","2021 October","Ballymote-Tobercurry, Sligo","5 - 11 years","%",""
"Primary Course Completed","2021 October","Ballymote-Tobercurry, Sligo","12 years and over","%","93.4"
"Primary Course Completed","2021 October","Sligo-Drumcliff, Sligo","5 - 11 years","%",""
"Primary Course Completed","2021 October","Sligo-Drumcliff, Sligo","12 years and over","%","94.8"
"Primary Course Completed","2021 October","Sligo-Strandhill, Sligo","5 - 11 years","%",""
"Primary Course Completed","2021 October","Sligo-Strandhill, Sligo","12 years and over","%","89"
"Primary Course Completed","2021 October","Cavan-Belturbet, Cavan","5 - 11 years","%",""
"Primary Course Completed","2021 October","Cavan-Belturbet, Cavan","12 years and over","%","80.9"
"Primary Course Completed","2021 October","Bailieborough-Cootehill, Cavan","5 - 11 years","%",""
"Primary Course Completed","2021 October","Bailieborough-Cootehill, Cavan","12 years and over","%","88.1"
"Primary Course Completed","2021 October","Ballyjamesduff, Cavan","5 - 11 years","%",""
"Primary Course Completed","2021 October","Ballyjamesduff, Cavan","12 years and over","%","88.8"
"Primary Course Completed","2021 October","Nenagh, Tipperary","5 - 11 years","%",""
"Primary Course Completed","2021 October","Nenagh, Tipperary","12 years and over","%","90.5"
"Primary Course Completed","2021 October","Roscrea-Templemore, Tipperary","5 - 11 years","%",""
"Primary Course Completed","2021 October","Roscrea-Templemore, Tipperary","12 years and over","%","91"
"Primary Course Completed","2021 October","Carrick-On-Suir, Tipperary","5 - 11 years","%",""
"Primary Course Completed","2021 October","Carrick-On-Suir, Tipperary","12 years and over","%","91.8"
"Primary Course Completed","2021 October","Clonmel, Tipperary","5 - 11 years","%",""
"Primary Course Completed","2021 October","Clonmel, Tipperary","12 years and over","%","90.8"
"Primary Course Completed","2021 October","Cashel-Tipperary, Tipperary","5 - 11 years","%",""
"Primary Course Completed","2021 October","Cashel-Tipperary, Tipperary","12 years and over","%","89.7"
"Primary Course Completed","2021 October","Newport, Tipperary","5 - 11 years","%",""
"Primary Course Completed","2021 October","Newport, Tipperary","12 years and over","%","93.8"
"Primary Course Completed","2021 October","Thurles, Tipperary","5 - 11 years","%",""
"Primary Course Completed","2021 October","Thurles, Tipperary","12 years and over","%","89.7"
"Primary Course Completed","2021 October","Cahir, Tipperary","5 - 11 years","%",""
"Primary Course Completed","2021 October","Cahir, Tipperary","12 years and over","%","86.6"
"Primary Course Completed","2021 October","Dungarvan, Waterford","5 - 11 years","%",""
"Primary Course Completed","2021 October","Dungarvan, Waterford","12 years and over","%","91.8"
"Primary Course Completed","2021 October","Portlaw-Kilmacthomas, Waterford","5 - 11 years","%",""
"Primary Course Completed","2021 October","Portlaw-Kilmacthomas, Waterford","12 years and over","%","93.7"
"Primary Course Completed","2021 October","Lismore, Waterford","5 - 11 years","%",""
"Primary Course Completed","2021 October","Lismore, Waterford","12 years and over","%","93.7"
"Primary Course Completed","2021 October","Tramore-Waterford City West, Waterford","5 - 11 years","%",""
"Primary Course Completed","2021 October","Tramore-Waterford City West, Waterford","12 years and over","%","92.8"
"Primary Course Completed","2021 October","Waterford City South, Waterford","5 - 11 years","%",""
"Primary Course Completed","2021 October","Waterford City South, Waterford","12 years and over","%","91.5"
"Primary Course Completed","2021 October","Waterford City East, Waterford","5 - 11 years","%",""
"Primary Course Completed","2021 October","Waterford City East, Waterford","12 years and over","%","91.6"
"Primary Course Completed","2021 October","Athlone, Westmeath","5 - 11 years","%",""
"Primary Course Completed","2021 October","Athlone, Westmeath","12 years and over","%","88.5"
"Primary Course Completed","2021 October","Moate, Westmeath","5 - 11 years","%",""
"Primary Course Completed","2021 October","Moate, Westmeath","12 years and over","%","95.3"
"Primary Course Completed","2021 October","Kinnegad, Westmeath","5 - 11 years","%",""
"Primary Course Completed","2021 October","Kinnegad, Westmeath","12 years and over","%","91.4"
"Primary Course Completed","2021 October","Mullingar, Westmeath","5 - 11 years","%",""
"Primary Course Completed","2021 October","Mullingar, Westmeath","12 years and over","%","85.1"
"Primary Course Completed","2021 October","Gorey, Wexford","5 - 11 years","%",""
"Primary Course Completed","2021 October","Gorey, Wexford","12 years and over","%","91.4"
"Primary Course Completed","2021 October","Kilmuckridge, Wexford","5 - 11 years","%",""
"Primary Course Completed","2021 October","Kilmuckridge, Wexford","12 years and over","%","95.9"
"Primary Course Completed","2021 October","New Ross, Wexford","5 - 11 years","%",""
"Primary Course Completed","2021 October","New Ross, Wexford","12 years and over","%","89.7"
"Primary Course Completed","2021 October","Rosslare, Wexford","5 - 11 years","%",""
"Primary Course Completed","2021 October","Rosslare, Wexford","12 years and over","%","95.9"
"Primary Course Completed","2021 October","Wexford, Wexford","5 - 11 years","%",""
"Primary Course Completed","2021 October","Wexford, Wexford","12 years and over","%","93.1"
"Primary Course Completed","2021 October","Enniscorthy, Wexford","5 - 11 years","%",""
"Primary Course Completed","2021 October","Enniscorthy, Wexford","12 years and over","%","90.6"
"Primary Course Completed","2021 October","Baltinglass, Wicklow","5 - 11 years","%",""
"Primary Course Completed","2021 October","Baltinglass, Wicklow","12 years and over","%","89"
"Primary Course Completed","2021 October","Bray West, Wicklow","5 - 11 years","%",""
"Primary Course Completed","2021 October","Bray West, Wicklow","12 years and over","%","89.3"
"Primary Course Completed","2021 October","Greystones, Wicklow","5 - 11 years","%",""
"Primary Course Completed","2021 October","Greystones, Wicklow","12 years and over","%","96.9"
"Primary Course Completed","2021 October","Wicklow, Wicklow","5 - 11 years","%",""
"Primary Course Completed","2021 October","Wicklow, Wicklow","12 years and over","%","94.7"
"Primary Course Completed","2021 October","Arklow, Wicklow","5 - 11 years","%",""
"Primary Course Completed","2021 October","Arklow, Wicklow","12 years and over","%","88.5"
"Primary Course Completed","2021 October","Bray East, Wicklow","5 - 11 years","%",""
"Primary Course Completed","2021 October","Bray East, Wicklow","12 years and over","%","90.6"
"Primary Course Completed","2021 October","Rush-Lusk, Fingal","5 - 11 years","%",""
"Primary Course Completed","2021 October","Rush-Lusk, Fingal","12 years and over","%","90"
"Primary Course Completed","2021 October","Swords, Fingal","5 - 11 years","%",""
"Primary Course Completed","2021 October","Swords, Fingal","12 years and over","%","83.8"
"Primary Course Completed","2021 October","Blanchardstown-Mulhuddart, Fingal","5 - 11 years","%",""
"Primary Course Completed","2021 October","Blanchardstown-Mulhuddart, Fingal","12 years and over","%","66.9"
"Primary Course Completed","2021 October","Castleknock, Fingal","5 - 11 years","%",""
"Primary Course Completed","2021 October","Castleknock, Fingal","12 years and over","%","86.4"
"Primary Course Completed","2021 October","Howth-Malahide, Fingal","5 - 11 years","%",""
"Primary Course Completed","2021 October","Howth-Malahide, Fingal","12 years and over","%","98.7"
"Primary Course Completed","2021 October","Stillorgan, Dún Laoghaire-Rathdown","5 - 11 years","%",""
"Primary Course Completed","2021 October","Stillorgan, Dún Laoghaire-Rathdown","12 years and over","%","94.1"
"Primary Course Completed","2021 October","Dundrum, Dún Laoghaire-Rathdown","5 - 11 years","%",""
"Primary Course Completed","2021 October","Dundrum, Dún Laoghaire-Rathdown","12 years and over","%","89.4"
"Primary Course Completed","2021 October","Glencullen-Sandyford, Dún Laoghaire-Rathdown","5 - 11 years","%",""
"Primary Course Completed","2021 October","Glencullen-Sandyford, Dún Laoghaire-Rathdown","12 years and over","%","83.6"
"Primary Course Completed","2021 October","Killiney-Shankill, Dún Laoghaire-Rathdown","5 - 11 years","%",""
"Primary Course Completed","2021 October","Killiney-Shankill, Dún Laoghaire-Rathdown","12 years and over","%","87.3"
"Primary Course Completed","2021 October","Dún Laoghaire, Dún Laoghaire-Rathdown","5 - 11 years","%",""
"Primary Course Completed","2021 October","Dún Laoghaire, Dún Laoghaire-Rathdown","12 years and over","%","86.4"
"Primary Course Completed","2021 October","Blackrock, Dún Laoghaire-Rathdown","5 - 11 years","%",""
"Primary Course Completed","2021 October","Blackrock, Dún Laoghaire-Rathdown","12 years and over","%","89.5"
"Primary Course Completed","2021 October","Lucan, South Dublin","5 - 11 years","%",""
"Primary Course Completed","2021 October","Lucan, South Dublin","12 years and over","%","86.1"
"Primary Course Completed","2021 October","Tallaght Central, South Dublin","5 - 11 years","%",""
"Primary Course Completed","2021 October","Tallaght Central, South Dublin","12 years and over","%","84"
"Primary Course Completed","2021 October","Rathfarnham-Templeogue, South Dublin","5 - 11 years","%",""
"Primary Course Completed","2021 October","Rathfarnham-Templeogue, South Dublin","12 years and over","%","98.5"
"Primary Course Completed","2021 October","Firhouse-Bohernabreena, South Dublin","5 - 11 years","%",""
"Primary Course Completed","2021 October","Firhouse-Bohernabreena, South Dublin","12 years and over","%","95.4"
"Primary Course Completed","2021 October","Tallaght South, South Dublin","5 - 11 years","%",""
